Part Number,Qty Ordered,UM_Multiplier
CABLE-BK,108,1
EX-LSK-BK,71.28,1
EX-OR-22,142.56,1
EX-SCR,285.12,1
EX-SPH-CL,71.28,1
EX-CNT,142.56,1
RV-SEAL,142.56,1
EX-USK-BK,71.28,1
EX-VI-WW,71.28,1
EX-MDA-BK,72,1
 ,0,1
MARK,0,1
 ,0,1
T24-150,1,1
CABLE-BK,61,1
EX-LSK-BK,61,1
EX-OR-22,122,1
EX-SCR,244,1
EX-SH,61,1
EX-SPH-CL,61,1
EX-VI-WW,61,1
EXCH-B-SA,61,1
EX-CNT,122,1
RV-SEAL,122,1
EX-USK-BK,61,1
EXCH-C-SA,61,1
EXC-SPL,1,1
EXC-EC,26,1
 ,0,1
T24-150,1,1
 ,1,1
LOT,0,1
TLX-RC-BK,4,1
TLX-WG-BKT,4,1
TLX-TK-BK,2.2,1
TLX-WG-LVR,55,1
TLX-CP-WG,22,1
TLX-WG-CH,14.46,1
TLX-WG-3000K-SP,22,1
LOT,0,1
MISC,24,1
MISC,144,1
TLX-WG-3000K-SP,48,1
 ,0,1
LC-1CH-MULTI,9,1
LDR24-192,3,1
LDR24-96,3,1
TLX-ED-WG,18,1
TLX-RC-BK,36,1
TLX-CON-WG2,18,1
TLX-RC-BK,8,1
TLX-WG-BKT,8,1
TLX-TK-BK,4.4,1
TLX-WG-LVR,110,1
TLX-CP-WG,44,1
TLX-WG-CH,28.92,1
TLX-WG-3000K-SP,44,1
TLX-RC-BK,16,1
TLX-WG-BKT,16,1
TLX-TK-BK,8,1
TLX-WG-LVR,200,1
TLX-CP-WG,80,1
TLX-WG-CH,52.56,1
TLX-WG-3000K-SP,80,1
LC-1CH-MULTI,2,1
LDR24-96,2,1
TLX-ED-WG,3,1
TLX-RC-BK,6,1
TLX-CON-WG2,3,1
TLX-WG-3000K-SP,12,1
TLX-WG-CH,7.89,1
TLX-CP-WG,12,1
TLX-WG-BKT,3,1
TLX-TK-BK,1.2,1
TLX-WG-3000K-SP,14,1
TLX-WG-CH,9.2,1
TLX-CP-WG,14,1
TLX-WG-BKT,4,1
TLX-TK-BK,1.4,1
 ,0,1
 ,0,1
 ,0,1
 ,0,1
TLX-WG-CH,31.56,1
TLX-CP-WG,48,1
TLX-WG-BKT,12,1
TLX-WG-LVR,120,1
TLX-TK-BK,4.8,1
TLX-RC-BK,8,1
MLC-3000-B,24,1
 ,0,1
TLX-TK-BK,0.498,1
MS-LNS-30D,24,1
 ,0,1
 ,0,1
 ,0,1
LOT,0,1
TLN-DSTAPE,3.072,1
MARK,0,1
TLN-2700K,17.664,1
TLN-BASE,24.96,1
TLN-CVR-DF,24.96,1
TLN-JW,384,1
TLN-SILICONE,1.92,1
TLN-ED-DF,27,1
TLN-ED-DF,30,1
TLN-CP,187,1
 ,0,1
P-18V,1,1
 ,0,1
MLC-CH-B,0.498,1
MLC-LC-B,1,1
MLC-EDL-B,1,1
MLC-CV-B,1,1
MLC-EC-SCR,2,1
EX-CNT,294,1
RV-SEAL,294,1
EX-USK-BK,147,1
CABLE-BK,177,1
ECD-BK,5,1
T24-300,1,1
 ,1,1
EX-MDA-BK,147,1
LOT,0,1
 ,0,1
CABLE-BK,147,1
MARK,0,1
EX-SPH-FR,147,1
EX-LSK-BK,147,1
EX-OR-22,294,1
EX-SCR,588,1
EX-UB-IW,147,1
LOT,0,1
T24-600,1,1
EX-CNT,382.8,1
CABLE-BK,290,1
 ,0,1
EX-LSK-BK,191.4,1
EX-OR-22,382.8,1
EX-SCR,765.6,1
EX-SPH-CL,191.4,1
EX-UB-WW,191.4,1
RV-SEAL,382.8,1
EX-USK-BK,191.4,1
EX-MDA-BK,195,1
T24-150,1,1
 ,1,1
MARK,0,1
EX-SCR,176,1
EX-OR-22,88,1
T24-150,2,1
EX-MDA-BK,40,1
EX-UB-WW,44,1
RV-SEAL,88,1
EX-USK-BK,44,1
MARK,0,1
 ,1,1
LOT,0,1
 ,0,1
CABLE-BK,88,1
EX-CNT,88,1
EX-G14-FR,44,1
EX-LSK-BK,44,1
CABLE-WH,25,1
EX-OR-22,2,1
EX-SPH-AM,1,1
EX-SCR,50,1
EX-OR-22,25,1
EX-CNT,25,1
EX-SPH-GR,1,1
EX-OR-22,2,1
EX-SPH-RD,1,1
EX-OR-22,2,1
EX-SPH-BL,1,1
EX-LSK-WH,12.5,1
RV-SEAL,25,1
EX-USK-WH,12.5,1
EX-WW,50,1
EX-OR-22,2,1
EX-SPH-VL,1,1
EX-OR-22,2,1
LV-CVR,8,1
LV-CON,2,1
LV-WFL,0.038,1
LV-BKT,12,1
LV-CH-WH,8,1
LVM-3000K,12,1
 ,0,1
MARK,0,1
 ,0,1
LDR24-96,2,1
LV-SCR-SV,4,1
LV-ECR,4,1
LDR-DIM,2,1
LOT,0,1
 ,0,1
LOT,0,1
MISC,12,1
 ,-1,1
TLED-LW-UB,12,1
 ,0,1
 ,0,1
TLED-IW-UB,12,1
TLN-DSTAPE,12.88,1
LDR24-192,18,1
LC-DMR,5,1
LC-1CH-DP,39,1
LDR24-96,3,1
TLN-2700K,74.06,1
TLN-ED-DF,390,1
TLN-JW,1610,1
TLN-CVR-DF,104.65,1
TLN-BASE,104.65,1
GRHB-3000,450,1
GRHB-LNS-8D,450,1
GRHB-LC,450,1
GRHB-AB,50,1
